status_id,status_message,elect,status_type,status_link,video_views,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
613529272065162_2114261195325288,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 5 IDRISSA SECK - COALITION "" IDY 2019 """,IDRISSA SECK,video,https://www.facebook.com/RTS1.Senegal/videos/550563158796794/,"4,6 K vues",2019-02-07 16:32:04,119,150,87,110,8,1,0,0,0
613529272065162_2114261048658636,ELECTION PRÉSIDENTIELLE 2019 : JOUR 5 - EL HADJI SALL PARTI DE L’UNITÉ ET DU RASSEMBLEMENT (PUR),EL HADJI SALL,video,https://www.facebook.com/RTS1.Senegal/videos/830024464016964/,"1,5 K vues",2019-02-07 16:31:54,48,11,29,46,2,0,0,0,0
613529272065162_2114260908658650,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 5 - MACKY SALL COALITION "" BENNO BOKK YAAKAAR """,MACKY SALL,video,https://www.facebook.com/RTS1.Senegal/videos/2116310408423640/,"3,1 K vues",2019-02-07 16:31:49,160,40,97,124,15,2,1,3,15
613529272065162_2114236891994385,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 5 MADICKE NIANG COALITION "" MADICKE 2019 "" LE CHOIX QUI RASSURE",MADICKE NIANG,video,https://www.facebook.com/RTS1.Senegal/videos/381304282449492/,"1,3 K vues",2019-02-07 16:11:06,29,9,12,20,3,0,6,0,0
613529272065162_2114231511994923,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 5 OUSMANE SONKO - COALITION "" SONKO PRÉSIDENT """,OUSMANE SONKO,video,https://www.facebook.com/RTS1.Senegal/videos/284193365590601/,"8,7 K vues",2019-02-07 16:06:08,479,116,257,400,66,10,2,0,1
613529272065162_2112817802136294,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 4 MADICKE NIANG COALITION "" MADICKE 2019 "" LE CHOIX QUI RASSURE",MADICKE NIANG,video,https://www.facebook.com/RTS1.Senegal/videos/286415235371364/,"3,6 K vues",2019-02-06 17:10:34,83,11,34,57,6,1,18,1,0
613529272065162_2112817768802964,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 4 - MACKY SALL COALITION "" BENNO BOKK YAAKAAR """,MACKY SALL,video,https://www.facebook.com/RTS1.Senegal/videos/1320374871450197/,"8,8 K vues",2019-02-06 17:10:21,301,73,238,245,24,1,2,0,29
613529272065162_2112817192136355,ELECTION PRÉSIDENTIELLE 2019 : JOUR 4 - EL HADJI SALL PARTI DE L’UNITÉ ET DU RASSEMBLEMENT (PUR),EL HADJI SALL,video,https://www.facebook.com/RTS1.Senegal/videos/1110754962429585/,"3,7 K vues",2019-02-06 17:09:45,88,12,77,80,7,0,1,0,0
613529272065162_2112759418808799,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 4 OUSMANE SONKO - COALITION "" SONKO PRÉSIDENT """,OUSMANE SONKO,video,https://www.facebook.com/RTS1.Senegal/videos/602849353497436/,17 K vues,2019-02-06 16:14:50,722,70,360,615,90,9,6,0,2
613529272065162_2112759218808819,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 4 IDRISSA SECK - COALITION "" IDY 2019 """,IDRISSA SECK,video,https://www.facebook.com/RTS1.Senegal/videos/383455845792257/,"7,7 K vues",2019-02-06 16:14:41,200,234,176,175,17,1,7,0,0
613529272065162_799533020395512,ELECTION PRÉSIDENTIELLE 2019,,video,https://www.facebook.com/RTS1.Senegal/videos/799533020395512/,"9,4 K vues",2019-02-06 16:00:25,365,1046,83,255,82,1,4,3,20
613529272065162_2111329735618434,ELECTION PRÉSIDENTIELLE 2019 : JOUR 3 - EL HADJI SALL PARTI DE L’UNITÉ ET DU RASSEMBLEMENT (PUR),EL HADJI SALL,video,https://www.facebook.com/RTS1.Senegal/videos/986996881486482/,"7,5 K vues",2019-02-05 17:15:06,149,25,146,139,9,0,1,0,0
613529272065162_2111329595618448,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 3 - MACKY SALL COALITION "" BENNO BOKK YAAKAAR """,MACKY SALL,video,https://www.facebook.com/RTS1.Senegal/videos/390986258134439/,"9,5 K vues",2019-02-05 17:15:05,319,54,138,257,24,0,1,0,37
613529272065162_2111329688951772,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 3 MADICKE NIANG COALITION "" MADICKE 2019 "" LE CHOIX QUI RASSURE",MADICKE NIANG,video,https://www.facebook.com/RTS1.Senegal/videos/533499613807141/,"2,5 K vues",2019-02-05 17:15:03,45,5,24,35,3,0,7,0,0
613529272065162_2111329488951792,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 3 IDRISSA SECK - COALITION "" IDY 2019 """,IDRISSA SECK,video,https://www.facebook.com/RTS1.Senegal/videos/342288669952661/,"6,3 K vues",2019-02-05 17:14:51,161,114,147,146,10,0,5,0,0
613529272065162_2111329055618502,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 3 OUSMANE SONKO - COALITION "" SONKO PRÉSIDENT """,OUSMANE SONKO,video,https://www.facebook.com/RTS1.Senegal/videos/332560650692666/,26 K vues,2019-02-05 17:14:26,989,111,607,852,119,9,8,0,1
613529272065162_2109736365777771,"ELECTION PRÉSIDENTIELLE 2019 : MADICKE NIANG - COALITION "" MADICKE 2019 "" LE CHOIX QUI RASSURE",MADICKE NIANG,video,https://www.facebook.com/RTS1.Senegal/videos/286585248689763/,"5,2 K vues",2019-02-04 16:41:20,95,13,42,70,7,0,17,0,1
613529272065162_2109714975779910,"ELECTION PRÉSIDENTIELLE 2019 : JOUR 2 OUSMANE SONKO - COALITION "" SONKO PRÉSIDENT """,OUSMANE SONKO,video,https://www.facebook.com/RTS1.Senegal/videos/2580826601933322/,43 K vues,2019-02-04 16:23:40,1242,155,876,1085,140,11,4,0,2
